Link,Part Name,Quantity,Unit Cost,Total Cost,Desc.
https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/102010671/26553873?s=N4IgTCBcDaIIwAYwMQNgOxxAXQL5A,ESP32 S3 Plus,1,$7.90,$7.90,MCU
https://www.digikey.com/en/products/detail/microchip-technology/MCP23017-E-SO/894271,MCP23017,1,$1.62,$1.62,I/O Expand
https://www.digikey.com/en/products/detail/cherry-americas-llc/MX1A-C1NW/280855,MX1A-C1NW,9,$1.25,$11.25,Cherry Switch
https://www.digikey.com/en/products/detail/sparkfun-electronics/09032/6823623?s=N4IgTCBcDaIAwE44GYIF0C%2BQ,COM-9032,2,$5.25,$10.50,Joystick
https://www.digikey.com/en/products/detail/bourns-inc/PEC11R-4220F-S0024/4499660,PEC11R-4220F-S0024,1,$2.69,$2.69,Rotary
https://www.amazon.com/AITRIP-Display-Self-Luminous-Compatible-Raspberry/dp/B0F5WPZJ92/ref=sr_1_3?crid=SAQ6WU9NZL43&dib=eyJ2IjoiMSJ9.ltHBUPYmqHV_JQ2qknQofKvzTU0DPfBfBepf_kWjCEvcKT7jAMyR57EUVJ4HSmcUR4WCqu714JLtsfdnh3HddTcusJZCAxnw2unr_4voU40MOt_L1XQjAYJ3L71wXU7kMDwvzYvQzJP118aVZZWDuBtkkLcJjLsCkyxxIhBUTD_0xd4CYHwsaY66NOI5jZWVuTnFfQQk3goHG8O0Cu_ew-tOZYfDvR3i-iKw4In9qfM.Shuk1zd202QjZrp36ofKoXgei-v_tlug0kIVSswycAA&dib_tag=se&keywords=dm%2Boled&qid=1785889227&sprefix=dm%2Boled%2Caps%2C279&sr=8-3&th=1,.96 In OLED,1,$11.99,$11.99,OLED
https://www.amazon.com/MAX98357-MAX98357A-Amplifier-Interface-Raspberry/dp/B0DPJRLMDJ/ref=sr_1_2?crid=5RJERWIRH0DB&dib=eyJ2IjoiMSJ9.wrUqlyCYfQg7uw9JEMG8tfsK5Q_Mv51wFRmePwgV3Xq1PTuJvTHXV85MLVcIB8Fo7sfl0zp2e7if8XlTs3e9BTCYsvSImm6IP43PNbgAgmJVSxOhyRqQyvCePFNMPTMzSxMmaVQYTOOkZBZdZH8SGiyM-SSZBTp1voC1YSA0WiKkw-EZpYww-xjW2T8vb-OE2HUDp8gZoMEahUihE3qLSe_FcldMsDp-XDiZFPxCIWk.2dcKtZtkQp932zcl7Ul76x2Yg8z_98S4FJR9VPJ9la0&dib_tag=se&keywords=MAX98357A&qid=1785889386&sprefix=max98357a%2Caps%2C216&sr=8-2,MAX98357A,1,$6.88,$6.88,Audio Amp
https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/CVS-1508/2791828,CVS-1508,1,$3.95,$3.95,Speaker
https://www.adafruit.com/product/1655,WS2812B,1,$4.50,$4.50,SMT LED
https://www.digikey.com/en/products/detail/texas-instruments/LP5907MFX-2-8-NOPB/3906436,LP5907MFX-2.8/NOPB,2,$0.62,$1.24,LDO 2.8V
https://www.digikey.com/en/products/detail/microchip-technology/MIC5365-1-3YC5-TR/1868078,MIC5365-1.3YC5-TR,1,$0.12,$0.12,LDO 1.3V
